Date,Description,Amount,Type,Category,Subcategory,Producer/Vendor,Payment Method,Notes
2025-03-11 11:46:14.270772,Electricity Bill,1012.5569894859682,Expense,Housing,Utilities,Landlord,Bank Transfer,
2025-03-22 11:46:14.270772,Transfer to Savings,708.2273837179266,Expense,Savings,Emergency Fund,Bank,Debit Card,
2025-02-13 11:46:14.270772,Netflix Subscription,31.942267282115715,Expense,Entertainment,Subscriptions,Spotify,Bank Transfer,
2025-01-30 11:46:14.270772,Dividend Payment,1363.0966828287337,Income,Income,Investments,Client,Cash,
2025-03-10 11:46:14.270772,Dividend Payment,1159.939890766871,Income,Income,Investments,Employer,Cash,
2025-02-21 11:46:14.270772,Clothing,364.8125766831232,Expense,Shopping,Clothing,Walmart,Debit Card,
2025-04-08 11:46:14.270772,Client Payment,1570.8849896121922,Income,Income,Investments,Dividend,Credit Card,
2025-01-27 11:46:14.270772,Stock Purchase,480.365295427234,Expense,Investments,Stocks,Brokerage,Debit Card,
2025-04-04 11:46:14.270772,Dividend Payment,4510.159719925661,Income,Income,Investments,Dividend,Debit Card,
2025-03-21 11:46:14.270772,Stock Purchase,1263.1825316915567,Expense,Investments,Stocks,Brokerage,Debit Card,
2025-03-26 11:46:14.270772,Monthly Transit Pass,150.73288144645628,Expense,Miscellaneous,Gas,Uber,Bank Transfer,
2025-02-09 11:46:14.270772,Online Purchase,392.58592107708176,Expense,Miscellaneous,Clothing,Amazon,Debit Card,
2025-03-21 11:46:14.270772,Uber Ride,175.03943547062545,Expense,Transportation,Public Transit,Uber,Debit Card,
2025-01-26 11:46:14.270772,Uber Ride,104.36843337284085,Expense,Transportation,Public Transit,Gas Station,Bank Transfer,
2025-02-22 11:46:14.270772,Grocery Shopping,81.78316990644224,Expense,Food,Restaurants,Grocery Store,Cash,
2025-02-03 11:46:14.270772,Transfer to Savings,744.1738993247606,Expense,Savings,Emergency Fund,Bank,Credit Card,
2025-03-30 11:46:14.270772,Movie Tickets,39.01353702526235,Expense,Entertainment,Subscriptions,Cinema,Credit Card,
2025-03-29 11:46:14.270772,Online Purchase,81.51322133871693,Expense,Miscellaneous,Electronics,Walmart,Bank Transfer,
2025-04-19 11:46:14.270772,Stock Purchase,998.2413390422048,Expense,Investments,Stocks,Brokerage,Cash,
2025-02-27 11:46:14.270772,Electronics,78.78651383944154,Expense,Shopping,Clothing,Amazon,Credit Card,
2025-01-30 11:46:14.270772,Spotify Premium,27.237977879176782,Expense,Entertainment,Subscriptions,Netflix,Bank Transfer,
2025-01-24 11:46:14.270772,Monthly Salary,1650.3069675911975,Income,Income,Freelance,Client,Bank Transfer,
2025-02-23 11:46:14.270772,Water Bill,1485.3762806692869,Expense,Housing,Rent/Mortgage,Landlord,Credit Card,
2025-02-08 11:46:14.270772,Lunch,107.69586600797747,Expense,Miscellaneous,Groceries,Grocery Store,Credit Card,
2025-02-11 11:46:14.270772,Electricity Bill,1204.4574107781386,Expense,Housing,Rent/Mortgage,Landlord,Bank Transfer,
2025-02-20 11:46:14.270772,Monthly Rent,1942.636495502131,Expense,Housing,Rent/Mortgage,Electric Company,Bank Transfer,
2025-02-25 11:46:14.270772,Monthly Transit Pass,28.20255656114071,Expense,Miscellaneous,Gas,Uber,Debit Card,
2025-01-31 11:46:14.270772,Water Bill,1139.7371858511833,Expense,Housing,Rent/Mortgage,Landlord,Credit Card,
2025-03-04 11:46:14.270772,Transfer to Savings,927.0797809203477,Expense,Savings,Emergency Fund,Bank,Debit Card,
2025-04-14 11:46:14.270772,Online Purchase,32.437018641076335,Expense,Miscellaneous,Clothing,Walmart,Debit Card,
2025-04-15 11:46:14.270772,Dividend Payment,4552.591698091407,Income,Income,Investments,Employer,Debit Card,
2025-03-30 11:46:14.270772,Stock Purchase,240.320031915536,Expense,Investments,Stocks,Brokerage,Debit Card,
2025-04-10 11:46:14.270772,Dividend Payment,4894.580190660869,Income,Income,Investments,Employer,Debit Card,
2025-04-20 11:46:14.270772,Movie Tickets,41.2595578197176,Expense,Entertainment,Movies,Cinema,Cash,
2025-03-27 11:46:14.270772,Uber Ride,164.0411437096959,Expense,Transportation,Gas,Transit Authority,Credit Card,
2025-03-14 11:46:14.270772,Monthly Transit Pass,43.40230981420984,Expense,Miscellaneous,Public Transit,Transit Authority,Cash,
2025-01-21 11:46:14.270772,Water Bill,1240.711383966472,Expense,Housing,Rent/Mortgage,Water Company,Debit Card,
2025-03-20 11:46:14.270772,Stock Purchase,589.9283340262348,Expense,Investments,Stocks,Brokerage,Credit Card,
2025-02-16 11:46:14.270772,Electronics,151.01870941535455,Expense,Shopping,Electronics,Walmart,Bank Transfer,
2025-02-06 11:46:14.270772,Stock Purchase,960.1142891515474,Expense,Investments,Stocks,Brokerage,Bank Transfer,
2025-02-02 11:46:14.270772,Dividend Payment,3277.9799201783785,Income,Income,Salary,Client,Debit Card,
2025-03-27 11:46:14.270772,Monthly Salary,3332.5402897191348,Income,Income,Salary,Dividend,Credit Card,
2025-02-03 11:46:14.270772,Electronics,320.8461012255552,Expense,Shopping,Electronics,Walmart,Debit Card,
2025-02-03 11:46:14.270772,Transfer to Savings,300.04668812641114,Expense,Savings,Emergency Fund,Bank,Cash,
2025-02-17 11:46:14.270772,Spotify Premium,28.910650191319327,Expense,Entertainment,Subscriptions,Netflix,Credit Card,
2025-01-30 11:46:14.270772,Monthly Transit Pass,88.0243766399109,Expense,Miscellaneous,Public Transit,Gas Station,Credit Card,
2025-03-05 11:46:14.270772,Electronics,84.38216346719257,Expense,Shopping,Electronics,Target,Credit Card,
2025-04-02 11:46:14.270772,Uber Ride,96.8613001029537,Expense,Transportation,Gas,Uber,Cash,
2025-01-27 11:46:14.270772,Clothing,45.96863649575308,Expense,Shopping,Clothing,Walmart,Bank Transfer,
2025-01-30 11:46:14.270772,Electronics,311.6321570452331,Expense,Shopping,Electronics,Amazon,Bank Transfer,
2025-03-09 11:46:14.270772,Electricity Bill,1491.009819372683,Expense,Housing,Utilities,Water Company,Bank Transfer,
2025-04-02 11:46:14.270772,Netflix Subscription,32.134121417318795,Expense,Entertainment,Subscriptions,Cinema,Cash,
2025-02-04 11:46:14.270772,Transfer to Savings,710.0810388397522,Expense,Savings,Emergency Fund,Bank,Bank Transfer,
2025-03-23 11:46:14.270772,Lunch,73.55944655392653,Expense,Miscellaneous,Groceries,Cafe,Cash,
2025-02-16 11:46:14.270772,Uber Ride,153.5037115402222,Expense,Transportation,Gas,Uber,Bank Transfer,
2025-03-29 11:46:14.270772,Online Purchase,369.21818343129814,Expense,Miscellaneous,Electronics,Walmart,Cash,
2025-01-22 11:46:14.270772,Monthly Salary,4459.9451014894385,Income,Income,Investments,Dividend,Bank Transfer,
2025-03-17 11:46:14.270772,Online Purchase,45.82323994730661,Expense,Miscellaneous,Clothing,Walmart,Cash,
2025-03-23 11:46:14.270772,Grocery Shopping,78.57776106752564,Expense,Food,Groceries,Cafe,Bank Transfer,
2025-02-10 11:46:14.270772,Stock Purchase,886.9507753554182,Expense,Investments,Stocks,Brokerage,Bank Transfer,
2025-03-14 11:46:14.270772,Dinner Out,62.865187685297656,Expense,Miscellaneous,Groceries,Cafe,Cash,
2025-04-16 11:46:14.270772,Movie Tickets,35.21407526308278,Expense,Entertainment,Subscriptions,Spotify,Cash,
2025-02-16 11:46:14.270772,Movie Tickets,12.983177453689052,Expense,Entertainment,Movies,Spotify,Debit Card,
2025-01-20 11:46:14.270772,Water Bill,1699.2114755299194,Expense,Housing,Rent/Mortgage,Water Company,Bank Transfer,
2025-01-25 11:46:14.270772,Water Bill,1819.3261273030844,Expense,Housing,Rent/Mortgage,Landlord,Cash,
2025-03-04 11:46:14.270772,Stock Purchase,1421.4863423864044,Expense,Investments,Stocks,Brokerage,Credit Card,
2025-03-08 11:46:14.270772,Electronics,296.1909455491145,Expense,Shopping,Electronics,Amazon,Bank Transfer,
2025-03-28 11:46:14.270772,Online Purchase,353.8162334107411,Expense,Miscellaneous,Clothing,Target,Credit Card,
2025-02-22 11:46:14.270772,Spotify Premium,31.26204424011752,Expense,Entertainment,Movies,Netflix,Cash,
2025-03-07 11:46:14.270772,Gas Refill,28.75801857578617,Expense,Transportation,Gas,Uber,Cash,
2025-04-08 11:46:14.270772,Client Payment,1258.764516459561,Income,Income,Salary,Client,Cash,
2025-03-14 11:46:14.270772,Lunch,49.65955020181193,Expense,Miscellaneous,Restaurants,Grocery Store,Bank Transfer,
2025-02-02 11:46:14.270772,Water Bill,835.9625687830907,Expense,Housing,Rent/Mortgage,Electric Company,Debit Card,
2025-02-16 11:46:14.270772,Dinner Out,94.01934411172627,Expense,Miscellaneous,Restaurants,Restaurant,Credit Card,
